File Name,Mean (V),Median (V),Min (V),Max (V),Std Dev (V)
C3_2CC_18.bin,-1.6286967386995164,0.0,-449.21875,492.1875,26.14229551085634
C3_2CC_21.bin,-1.3873197088939304,0.0,-375.0,386.71875,26.212352171905085
C3_2CC_20.bin,-1.6136934718283997,0.0,-402.34375,335.9375,26.536634996629928
C3_2CC_19.bin,-1.3877510078894963,0.0,-394.53125,378.90625,25.566763320745153
C3_2CC_24.bin,-1.5588137999976797,0.0,-500.0,488.28125,26.03502826321764
C3_2CC_22.bin,-1.48824289251759,0.0,-390.625,312.5,26.349886737771307
C3_2CC_23.bin,-1.496061358820362,0.0,-328.125,308.59375,25.969609091014366
C3_2CC_25.bin,-1.197529398714694,0.0,-386.71875,355.46875,26.42137271626102
C3_2CC_2.bin,-1.5320838103458554,0.0,-312.5,320.3125,25.717903387413497
C3_2CC_26.bin,-1.464224148363254,0.0,-464.84375,492.1875,25.75579583560363
C3_2CC_27.bin,-1.4015010073894394,0.0,-417.96875,414.0625,25.944636606056424
C3_2CC_28.bin,-1.2101698971753192,0.0,-363.28125,460.9375,25.39352390135604
C3_2CC_29.bin,-1.2094471588222422,0.0,-414.0625,343.75,26.01349951561145
